participant,test started,sceneloaded,scenetime
13,="02/04/2016 01:13:59 PM"
,,Pre VR,="02/04/2016 01:14:01 PM"
,,VR Task 2 Instructions,="02/04/2016 01:14:06 PM"
,,VR Task 2,="02/04/2016 01:14:07 PM"
,,AnotherVR,="02/04/2016 01:15:27 PM"
,,VR Task 1 Instructions,="02/04/2016 01:15:32 PM"
,,VR Task 1,="02/04/2016 01:16:32 PM"
,,VR Task 3 Instructions,="02/04/2016 01:16:36 PM"
,,VR Task 3,="02/04/2016 01:16:37 PM"
,,PostVR,="02/04/2016 01:17:41 PM"
,,Pre NVRW,="02/04/2016 01:17:46 PM"
,,Task 3 Instructions,="02/04/2016 01:17:51 PM"
